user_id,category,score,rank
User_0,Clothing,17,1
User_0,Electronics,13,2
User_0,Toys,10,3
User_10003,Books,25,1
User_10003,Clothing,21,2
User_10003,Electronics,19,3
User_10004,Electronics,20,1
User_10004,Books,14,2
User_10004,Home,11,3
User_10005,Electronics,12,1
User_10005,Home,11,2
User_10005,Toys,8,3
User_10006,Clothing,22,1
User_10006,Electronics,13,2
User_10006,Toys,11,3
User_10007,Books,22,1
User_10007,Clothing,18,2
User_10007,Toys,13,3
User_10008,Toys,8,1
User_10008,Books,8,2
User_10008,Clothing,7,3
User_10009,Clothing,15,1
User_10009,Toys,11,2
User_10009,Home,10,3
User_10010,Home,14,1
User_10010,Books,13,2
User_10010,Clothing,12,3
User_10013,Clothing,17,1
User_10013,Toys,14,2
User_10013,Electronics,12,3
User_10014,Clothing,12,1
User_10014,Toys,11,2
User_10014,Books,10,3
User_10015,Clothing,14,1
User_10015,Electronics,13,2
User_10015,Home,13,3
User_10016,Clothing,25,1
User_10016,Toys,14,2
User_10016,Electronics,12,3
User_10018,Home,16,1
User_10018,Toys,16,2
User_10018,Clothing,16,3
User_1002,Electronics,21,1
User_1002,Books,15,2
User_1002,Clothing,12,3
User_10020,Books,17,1
User_10020,Electronics,14,2
User_10020,Home,14,3
User_10021,Toys,28,1
User_10021,Clothing,15,2
User_10021,Books,8,3
User_10022,Books,19,1
User_10022,Electronics,12,2
User_10022,Toys,8,3
User_10024,Clothing,22,1
User_10024,Toys,17,2
User_10024,Books,12,3
User_10026,Electronics,13,1
User_10026,Home,12,2
User_10026,Books,11,3
User_10028,Home,18,1
User_10028,Clothing,16,2
User_10028,Books,8,3
User_10029,Home,25,1
User_10029,Toys,17,2
User_10029,Electronics,13,3
User_1003,Clothing,18,1
User_1003,Books,16,2
User_1003,Electronics,16,3
User_10033,Home,13,1
User_10033,Books,11,2
User_10033,Clothing,9,3
User_10034,Clothing,13,1
User_10034,Toys,12,2
User_10034,Books,7,3
User_10035,Books,18,1
User_10035,Electronics,14,2
User_10035,Home,11,3
User_10036,Toys,14,1
User_10036,Clothing,11,2
User_10036,Home,10,3
User_1004,Clothing,25,1
User_1004,Books,19,2
User_1004,Home,13,3
User_10041,Home,16,1
User_10041,Clothing,15,2
User_10041,Electronics,15,3
User_10042,Clothing,18,1
User_10042,Books,15,2
User_10042,Home,11,3
User_10043,Home,14,1
User_10043,Toys,12,2
User_10043,Electronics,9,3
User_10044,Home,13,1
User_10044,Books,13,2
User_10044,Electronics,13,3
User_10045,Home,18,1
User_10045,Toys,15,2
User_10045,Electronics,6,3
User_10046,Toys,22,1
User_10046,Clothing,19,2
User_10046,Electronics,8,3
User_10050,Books,23,1
User_10050,Clothing,16,2
User_10050,Electronics,11,3
User_10052,Clothing,12,1
User_10052,Toys,10,2
User_10052,Electronics,10,3
User_10053,Home,24,1
User_10053,Electronics,19,2
User_10053,Clothing,17,3
User_10055,Home,29,1
User_10055,Electronics,15,2
